,%polar,total sasa,apolar,polar,,,,,,,,,,,,,,,
294,52.5373,326.27,154.857,171.414,,,,,,,,,,,,,,,
295,50.9935,225.858,110.685,115.173,,,,,,,,,,,,,,,
296,29.6363,365.936,257.486,108.45,,,,,,,,,,,,,,,
297,22.7831,480.562,371.075,109.487,,,,,,,,,,,,,,,
298,16.5699,218.387,182.201,36.1867,,,,,,,,,,,,,,,
299,38.0117,143.598,89.0137,54.5839,,,,,,,,,,,,,,,
300,32.1124,339.841,230.71,109.131,,,,,,,,,,,,,,,
301,22.4362,301.834,234.114,67.7203,,,,,,,,,,,,,,,
302,49.5873,228.092,114.987,113.105,,,,,,,,,,,,,,,
303,36.5107,221.608,140.697,80.9105,,,,,,,,,,,,,,,
304,37.8748,228.255,141.804,86.451,,,,,,,,,,,,,,,
305,19.8199,324.708,260.351,64.3567,,,,,,,,,,,,,,,
306,28.2029,368.07,264.263,103.806,,,,,,,,,,,,,,,
307,18.3774,371.464,303.198,68.2654,,,,,,,,,,,,,,,
308,15.9776,218.895,183.921,34.974,,,,,,,,,,,,,,,
309,18.6614,510.328,415.094,95.2341,,,,,,,,,,,,,,,
310,39.1104,243.914,148.518,95.3957,,,,,,,,,,,,,,,
311,26.1653,229.85,169.709,60.141,,,,,,,,,,,,,,,
312,25.935,371.598,275.224,96.3737,,,,,,,,,,,,,,,
313,11.759,574.735,507.152,67.5833,,,,,,,,,,,,,,,
314,23.4781,370.7,283.666,87.0331,,,,,,,,,,,,,,,
315,22.3429,190.59,148.007,42.5834,,,,,,,,,,,,,,,
316,17.2442,337.91,279.64,58.2699,,,,,,,,,,,,,,,
317,24.6515,335.217,252.581,82.6359,,,,,,,,,,,,,,,
318,19.503,322.682,259.75,62.9328,,,,,,,,,,,,,,,
319,43.8657,459.427,257.896,201.531,,,,,,,,,,,,,,,
320,46.9117,313.37,166.363,147.007,,,,,,,,,,,,,,,
321,43.2095,273.914,155.557,118.357,,,,,,,,,,,,,,,
322,52.4316,202.799,96.4681,106.331,,,,,,,,,,,,,,,
323,11.8199,352.964,311.244,41.7202,,,,,,,,,,,,,,,
324,30.5497,379.697,263.701,115.996,,,,,,,,,,,,,,,
325,17.5648,457.904,377.474,80.4301,,,,,,,,,,,,,,,
326,20.5425,441.804,351.046,90.7573,,,,,,,,,,,,,,,
327,13.3547,447.022,387.324,59.6985,,,,,,,,,,,,,,,
328,27.4149,336.178,244.015,92.1628,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,|
